taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
9264326	Melanolophia signataria (Walker, 1860)	9264326	Melanolophia signataria (Walker, 1860)	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Melanolophia	1962704	Melanolophia signataria	9264326	NE
9623131	Xanthia tatago Lafontaine & Mikkola, 2003	9623131	Xanthia tatago Lafontaine & Mikkola, 2003	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Xanthia	8379138	Xanthia tatago	9623131	NE
1781944	Palthis angulalis Hübner, 1796	1781944	Palthis angulalis Hübner, 1796	5	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Palthis	1781924	Palthis angulalis	1781944	NE
1878937	Agriphila vulgivagellus Clemens, 1861	1878937	Agriphila vulgivagellus Clemens, 1861	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Crambidae	8841	Agriphila	1878838	Agriphila vulgivagellus	1878937	NE
2481743	Calidris maritima (Brunnich, 1764)	2481743	Calidris maritima (Brunnich, 1764)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Calidris	2481739	Calidris maritima	2481743	LC
2497581	Nyctea scandiaca (Linnaeus, 1758)	5959143	Bubo scandiacus (Linnaeus, 1758)	2	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Strigiformes	1450	Strigidae	9348	Bubo	5959091	Bubo scandiacus	5959143	NE
2553607	Exidia glandulosa (Bull.) Fr.	2553607	Exidia glandulosa (Bull.) Fr.	7	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Auriculariales	1062	Auriculariaceae	8788	Exidia	2512856	Exidia glandulosa	2553607	NE
2586915	Microglossum rufum (Schwein.) Underw.	2586915	Microglossum rufum (Schwein.) Underw.	3	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Leotiomycetes	179	Leotiales	1053	Leotiaceae	4124	Microglossum	7677481	Microglossum rufum	2586915	NE
2592559	Calicium Pers.	2592559	Calicium Pers.	4	GENUS	ACCEPTED	Fungi	5	Ascomycota	95	Lecanoromycetes	180	Caliciales	10861608	Caliciaceae	4115	Calicium	2592559			NE
2651832	Adiantum pedatum L.	2651832	Adiantum pedatum L.	117	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Polypodiales	392	Pteridaceae	2367	Adiantum	2650796	Adiantum pedatum	2651832	NE
2688214	Selaginella apoda (L.) Spring	2688214	Selaginella apoda (L.) Spring	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Lycopodiopsida	245	Selaginellales	420	Selaginellaceae	6724	Selaginella	2688177	Selaginella apoda	2688214	NE
2689209	Lophozia (Dumort.) Dumort.	2689209	Lophozia (Dumort.) Dumort.	3	GENUS	ACCEPTED	Plantae	6	Marchantiophyta	9	Jungermanniopsida	126	Jungermanniales	381	Lophoziaceae	3229887	Lophozia	2689209			
