taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2482802	Empidonax virescens (Vieillot, 1818)	2482802	Empidonax virescens (Vieillot, 1818)	18	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Tyrannidae	5291	Empidonax	2482766	Empidonax virescens	2482802	LC
2489590	Seiurus aurocapilla (Linnaeus, 1766)	2489590	Seiurus aurocapilla (Linnaeus, 1766)	456	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Seiurus	2489584	Seiurus aurocapilla	2489590	LC
4952759	Glycymeris wrigleyi Curry, 1958	4952759	Glycymeris wrigleyi Curry, 1958	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137	Arcida	9574493	Glycymerididae	6886	Glycymeris	2286264	Glycymeris wrigleyi	4952759	NE
5111397	Leucania multilinea Walker, 1856	5111397	Leucania multilinea Walker, 1856	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Leucania	1778695	Leucania multilinea	5111397	NE
5189492	Thracia conradi Couthouy, 1839	5189492	Thracia conradi Couthouy, 1839	3	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137			Thraciidae	3469	Thracia	7501733	Thracia conradi	5189492	NE
6447505	Atriplex pentandra (Jacq.) Standl.	6447505	Atriplex pentandra (Jacq.) Standl.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Amaranthaceae	3064	Atriplex	10651755	Atriplex pentandra	6447505	NE
6530789	Anomia glabra Verrill, 1872	5188927	Anomia simplex d'Orbigny, 1853	1	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Bivalvia	137	Pectinida	9250425	Anomiidae	6872	Anomia	2031838	Anomia simplex	5188927	NE
7061002	Progne subis subis	7061002	Progne subis subis	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Hirundinidae	5248	Progne	2489127	Progne subis	2489129	
10568288	BOLD:AAB2890	10568288	BOLD:AAB2890	1	UNRANKED	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Oligia	1766366	Oligia minuscula	1766392	
1812262	Spilosoma latipennis Stretch, 1872	1812262	Spilosoma latipennis Stretch, 1872	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Erebidae	4532185	Spilosoma	9146182	Spilosoma latipennis	1812262	NE
1826058	Dasylophia anguina Abbot & Smith, 1797	1826058	Dasylophia anguina Abbot & Smith, 1797	7	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Notodontidae	7016	Dasylophia	1826053	Dasylophia anguina	1826058	NE
2158381	Araniella displicata (Hentz, 1847)	2158381	Araniella displicata (Hentz, 1847)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Araneidae	7359	Araniella	2158379	Araniella displicata	2158381	NE
2314273	Lepidonotus sublevis Verrill, 1873	2314273	Lepidonotus sublevis Verrill, 1873	2	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Polychaeta	256	Phyllodocida	1079	Polynoidae	7078	Lepidonotus	2314828	Lepidonotus sublevis	2314273	NE
2490872	Hylocichla mustelina (Gmelin, 1789)	2490872	Hylocichla mustelina (Gmelin, 1789)	114	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Turdidae	5290	Hylocichla	2490871	Hylocichla mustelina	2490872	LC
2490926	Ixoreus naevius (Gmelin, 1789)	2490926	Ixoreus naevius (Gmelin, 1789)	11	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Turdidae	5290	Ixoreus	2490925	Ixoreus naevius	2490926	LC
2664333	Chantransia efflorescens (J.Agardh) Kjellman	5278534	Grania efflorescens (J.Agardh) Kylin	1	SPECIES	SYNONYM	Plantae	6	Rhodophyta	106	Florideophyceae	342	Nemaliales	673	Acrochaetiaceae	4887	Grania	2664590	Grania efflorescens	5278534	NE
3039203	Parthenocissus inserta (A.Kern.) Fritsch	3039193	Parthenocissus vitacea (Knerr) Hitchc.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Vitales	7222050	Vitaceae	6672	Parthenocissus	3039188	Parthenocissus vitacea	3039193	NE
4608528	Littorinella Herrmannsen, 1847	11244959	Hydrobia W.Hartmann, 1821	1	GENUS	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Littorinimorpha	7390893	Hydrobiidae	2671	Hydrobia	11244959			
5178378	Callianassa biformis Biffar, 1971	2222864	Biffarius biformis (Biffar, 1971)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Malacostraca	229	Decapoda	637	Callianassidae	4477	Biffarius	2222861	Biffarius biformis	2222864	NE
