taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
9607036	Catocala piatrix Grote, 1864	9607036	Catocala piatrix Grote, 1864	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Erebidae	4532185	Catocala	1797073	Catocala piatrix	9607036	NE
10796194	Dichanthelium clandestinum Linnaeus, 1753	10796194	Dichanthelium clandestinum Linnaeus, 1753	14	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Dichanthelium	2702537	Dichanthelium clandestinum	10796194	NE
11023804	Melissodes illata Lovell & Cockerell, 1906	5040702	Melissodes illatus Lovell & Cockerell, 1906	9	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Apidae	4334	Melissodes	5040596	Melissodes illatus	5040702	NE
11070806	Buellia disciformis (Fr.) Mudd	6345805	Buellia disciformis var. disciformis	12	SPECIES	SYNONYM	Fungi	5	Ascomycota	95	Lecanoromycetes	180	Caliciales	10861608	Caliciaceae	4115	Buellia	2587707	Buellia disciformis	2609859	NE
84	Chloroflexi	10690675	Chloroflexota	10	PHYLUM	SYNONYM	Bacteria	3	Chloroflexota	10690675											
7824	Dytiscidae	7824	Dytiscidae	9	FAMILY	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Dytiscidae	7824					NE
1035276	Amara musculis (Say, 1823)	1035276	Amara musculis (Say, 1823)	8	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Carabidae	3792	Amara	8169866	Amara musculis	1035276	NE
1036893	Clivina fossor (Linnaeus, 1758)	1036893	Clivina fossor (Linnaeus, 1758)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Carabidae	3792	Clivina	1036880	Clivina fossor	1036893	NE
1237341	Lechriops oculatus Heller, 1895	1237341	Lechriops oculatus Heller, 1895	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Curculionidae	4239	Lechriops	1237332	Lechriops oculatus	1237341	NE
1739035	Rhopobota finitimana Heinrich, 1923	1739035	Rhopobota finitimana Heinrich, 1923	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Tortricidae	5343	Rhopobota	1739000	Rhopobota finitimana	1739035	NE
1791736	Marathyssa inficita Walker, 1865	1791736	Marathyssa inficita Walker, 1865	68	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Marathyssa	9119424	Marathyssa inficita	1791736	NE
1835429	Semioscopis Hübner, 1825	1835429	Semioscopis Hübner, 1825	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Elachistidae	7297	Semioscopis	1835429			
1854920	Amydria effrentella Clemens, 1859	1854920	Amydria effrentella Clemens, 1859	5	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Acrolophidae	4537	Amydria	1854910	Amydria effrentella	1854920	NE
1866341	Callosamia promethea Drury, 1773	1866341	Callosamia promethea Drury, 1773	340	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Saturniidae	8864	Callosamia	1866333	Callosamia promethea	1866341	NE
1925804	Celastrina Tutt, 1906	1925804	Celastrina Tutt, 1906	958	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Lycaenidae	5473	Celastrina	1925804			
