scientificName,vernacularName,VT_SGCN,Regional_SGCN
Eragrostis capillaris,Lace Love-grass,High ,
Erigeron hyssopifolius,Hyssop-leaved Fleabane,High ,
Erigeron philadelphicus var. provancheri,Provancher's Dwarf Fleabane,High ,
Euphorbia nutans,Nodding Spurge,High ,
Festuca brachyphylla ssp. brachyphylla,Shortleaf Fescue,High ,
Festuca rubra ssp. pruinosa,Coastal Red Fescue,High ,
Festuca rubra ssp. vallicola,Montane Red Fescue,High ,
Festuca saximontana var. saximontana,Mountain Fescue,High ,
Floerkea proserpinacoides,False Mermaid-weed,High ,
Galearis rotundifolia,Small Round-leaved Orchis,High ,
Galium brevipes,Limestone Swamp Bedstraw,High ,
Galium labradoricum,Bog Bedstraw,High ,
Gentiana andrewsii,Fringe-top Closed Gentian,High ,
Gentianella amarella ssp. acuta,Felwort,High ,
Geocarpon groenlandicum,Mountain Sandwort,High ,
Geranium carolinianum,Carolina Crane's-bill,High ,
Geum vernum,Spring Avens,High ,
Goodyera oblongifolia,Giant Rattlesnake-plantain,High ,
Graphephorum melicoides,Purple False Oats,High ,
Hackelia deflexa ssp. americana,Nodding Stickseed,High ,
Heliopsis helianthoides var. helianthoides,Ox-eye,High ,
Hudsonia ericoides,Golden-heather,High ,
Hudsonia tomentosa,Beach Heather,High ,
Hydrastis canadensis,Golden-seal,High ,
Hydrophyllum canadense,Broad-leaved Waterleaf,High ,
Hypopitys lanuginosa,Red Pine-sap,High ,
Hypoxis hirsuta,Star Grass,High ,
Isotria medeoloides,Small Whorled Pogonia,High ,
Juncus torreyi,Torrey's Rush,High ,
Juncus vaseyi,Vasey Rush,High ,
Lactuca hirsuta,Hairy Lettuce,High ,
Lathyrus ochroleucus,Pale Vetchling,High ,
Lechea minor,Lesser Pinweed,High ,
Lemna perpusilla,Minute Duckweed,High ,
Lespedeza stuevei,Tall Bush-clover,High ,
Leucophysalis grandiflora,Large White-flowered Ground-cherry,High ,
Linum medium,Stiff Yellow Flax,High ,
Linum sulcatum var. sulcatum,Grooved Yellowflax,High ,
Liparis liliifolia,Lily-leaved Twayblade,High ,
Lonicera hirsuta,Hairy Honeysuckle,High ,
Lonicera sempervirens var. sempervirens,Trumpet Honeysuckle,High ,
Ludwigia polycarpa,Many-fruited False-loosestrife,High ,
Lupinus perennis ssp. perennis,Wild Lupine,High ,
Luzula spicata,Spiked Wood-rush,High ,
Lythrum alatum ssp. alatum,Winged-loosestrife,High ,
Malaxis monophyllos var. brachypoda,White Adder's-mouth,High ,
Minuartia marcescens,Marcescent Sandwort,High ,
Minuartia rubella,Marble Sandwort,High ,
Moehringia macrophylla,Large-leaved Sandwort,High ,
Monarda punctata,Dotted Horsemint,High ,
Morus rubra,Red Mulberry,High ,
Nabalus boottii,Boott's Rattlesnake-root,High ,
Neottia auriculata,Auricled Twayblade,High ,
Neottia bifolia,Southern Twayblade,High ,
Nymphaea leibergii,Dwarf Water-lily,High ,
Oenothera nutans,Nodding Evening-primrose,High ,
Oreojuncus trifidus,Highland Rush,High ,
Osmorhiza berteroi,Mountain Sweet-cicely,High ,
Osmorhiza depauperata,Blunt-fruited Sweet-cicely,High ,
Panax quinquefolius,American Ginseng,High ,
Panicum flexile,Stiff Witch-grass,High ,
Paronychia canadensis,Smooth Forked Chickweed,High ,
Phragmites americanus,American Reed,High ,
Pilea fontana,Black-seeded Clearweed,High ,
Pinguicula vulgaris,Butterwort,High ,
Platanthera huronensis,Huron Orchid,High ,
Poa flexuosa ssp. fernaldiana,Wavy Bluegrass,High ,
Poa glauca ssp. glauca,Glaucous Bluegrass,High ,
Poa interior,Inland Bluegrass,High ,
Poa pratensis ssp. agassizensis,Agassiz Kentucky Bluegrass,High ,
Poa saltuensis ssp. languida,Lax Bluegrass,High ,
Podophyllum peltatum,May-apple,High ,
Polemonium vanbruntiae,Eastern Jacob's Ladder,High ,
Polygonum erectum,Erect Knotweed,High ,
Polymnia canadensis,White-flowered Leafcup,High ,
Potamogeton hillii,Hill's Pondweed,High ,
Primula mistassinica,Bird's-eye Primrose,High ,
Pterospora andromedea,Pinedrops,High ,
Pyrola minor,Lesser Pyrola,High ,
Ranunculus hispidus,Bristly Buttercup,High ,
Rhodiola rosea,Roseroot,High ,
Rhododendron lapponicum,Lapland Rosebay,High ,
Rhododendron maximum,Great Laurel,High ,
Rhynchospora capillacea,Capillary Beak-rush,High ,
Ribes rotundifolium,Appalachian Gooseberry,High ,
Rorippa aquatica,Lake-cress,High ,
Rosa acicularis ssp. sayi,Needle-spine Rose,High ,
Rudbeckia hirta var. hirta,Black-eyed Susan,High ,
Rumex occidentalis,Western Dock,High ,
Rumex pallidus,Seabeach Dock,High ,
Sagina decumbens,Small Pearlwort,High ,
Sagittaria engelmanniana,Engelmann's Arrowhead,High ,
Salix amygdaloides,Peach-leaf Willow,High ,
Salix planifolia ssp. planifolia,Tea-leaved Willow,High ,
Salix uva-ursi,Bearberry Willow,High ,
Sanicula canadensis var. canadensis,Short-styled Snakeroot,High ,
Sanicula canadensis var. grandis,Long-styled Snakeroot,High ,
Saxifraga aizoides,Yellow Mountain Saxifrage,High ,
Saxifraga oppositifolia ssp. oppositifolia,Purple Mountain Saxifrage,High ,
Saxifraga paniculata ssp. paniculata,White Mountain Saxifrage,High ,
Schoenoplectus heterochaetus,Slender Bulrush,High ,
Scirpus ancistrochaetus,Barbed-bristle Bulrush,High ,
Scirpus georgianus,Georgia Bulrush,High ,
Scutellaria parvula var. missouriensis,Shale Barren Skullcap,High ,
Scutellaria parvula var. parvula,Small Skullcap,High ,
Senega verticillata,Whorled Milkwort,High ,
Senna hebecarpa,Wild Senna,High ,
Silene stellata,Starry Catchfly,High ,
Sisyrinchium mucronatum,Slender Blue-eyed-grass,High ,
Solidago bartramiana,Brenda's Goldenrod,High ,
Solidago leiocarpa,Cutler's Goldenrod,High ,
Solidago ptarmicoides,Snowy Aster,High ,
Solidago racemosa,River-ledge Goldenrod,High ,
Solidago speciosa var. speciosa,Showy Goldenrod,High ,
Sparganium androcladum,Branching Bur-reed,High ,
Sphenopholis nitida,Shiny Wedgegrass,High ,
Sphenopholis obtusata,Blunt Sphenopholis,High ,
Spiranthes casei var. casei,Case's Ladies'-tresses,High ,
Spiranthes lacera var. gracilis,Southern Slender Ladies'-tresses,High ,
Stachys hispida,Rough Hedge-nettle,High ,
Stuckenia filiformis,Slender Pondweed,High ,
Subularia aquatica var. americana,Water Awlwort,High ,
Symphyotrichum lanceolatum var. interior,Inland Lance-leaf Aster,High ,
Symphyotrichum prenanthoides,Crooked-stem Aster,High ,
Symphyotrichum urophyllum,White-arrow Aster,High ,
Taenidia integerrima,Yellow Pimpernel,High ,
Thalictrum venulosum,Border Meadow-rue,High ,
Toxicodendron radicans ssp. negundo,Hairy Climbing Poison-ivy,High ,
Trichostema brachiatum,False Pennyroyal,High ,
Triglochin maritima,Common Arrow-grass,High ,
Ulmus thomasii,Cork Elm,High ,
Vaccinium uliginosum,Alpine Bilberry,High ,
Vahlodea atropurpurea,Mountain Hairgrass,High ,
Valeriana uliginosa,Marsh Valerian,High ,
Verbena simplex,Narrow-leaved Vervain,High ,
Veronica catenata,Water-speedwell,High ,
Veronica serpyllifolia var. humifusa,Northern Thyme-leaf Speedwell,High ,
Veronicastrum virginicum,Culver's-root,High ,
Viola subsinuata,Lobed Violet,High ,
Xyris difformis var. difformis,Bog Yellow-eyed-grass,High ,
Acalypha gracilens,Slender Copperleaf,Medium ,
Agalinis purpurea var. parviflora,Smooth Agalinis,Medium ,
Agrimonia pubescens,Hairy Agrimony,Medium ,
Agrostis mertensii,Boreal Bentgrass,Medium ,
Allium canadense var. canadense,Wild Garlic,Medium ,
Allium schoenoprasum,Siberian Chives,Medium ,
Anemone cylindrica,Long-headed Thimbleweed,Medium ,
Arabidopsis lyrata,Lyre-leaved Rock-cress,Medium ,
Arceuthobium pusillum,Dwarf Mistletoe,Medium ,
Arisaema dracontium,Green Dragon,Medium ,
Aristida dichotoma var. dichotoma,Churchmouse Threeawn,Medium ,
Aristida longespica var. geniculata,Spiked Grass,Medium ,
Asclepias amplexicaulis,Blunt-leaved Milkweed,Medium ,
Asclepias tuberosa ssp. tuberosa,Butterfly-weed,Medium ,
Asclepias verticillata,Whorled Milkweed,Medium ,
Aureolaria flava var. flava,Smooth False-foxglove,Medium ,
Aureolaria pedicularia,Feverweed,Medium ,
Aureolaria virginica,Downy False-foxglove,Medium ,
Bartonia virginica,Yellow Bartonia,Medium ,
Blitum capitatum ssp. capitatum,Strawberry Blite,Medium ,
Boechera stricta,Drummond's Rock-cress,Medium ,
Brachyelytrum erectum,Shorthusk,Medium ,
Bromus kalmii,Wild Chess,Medium ,
Calamagrostis pickeringii,Pickering's Reed-grass,Medium ,
Callitriche heterophylla var. heterophylla,Large Water-starwort,Medium ,
Cardamine bulbosa,Spring Cress,Medium ,
Cardamine maxima,Large Toothwort,Medium ,
Cardamine parviflora var. arenicola,Small-flower Bitter-cress,Medium ,
Carex albicans var. albicans,Whitetinge Sedge,Medium ,
Carex albicans var. emmonsii,Emmon's Sedge,Medium ,
Carex arcta,Contracted Sedge,Medium ,
Carex atlantica var. atlantica,Atlantic Sedge,Medium ,
Carex atlantica var. capillacea,Howe's Sedge,Medium ,
Carex buxbaumii,Buxbaum's Sedge,Medium ,
Carex cryptolepis,Northeastern Sedge,Medium ,
Carex cumulata,Clustered Sedge,Medium ,
Carex echinodes,Urchin Sedge,Medium ,
Carex exilis,Bog Sedge,Medium ,
Carex foenea,Bronze Sedge,Medium ,
Carex houghtoniana,Houghton's Sedge,Medium ,
Carex laevivaginata,Smooth Sedge,Medium ,
Carex longii,Greenish-white Sedge,Medium ,
Carex lupuliformis,False Hop Sedge,Medium ,
Carex merritt-fernaldii,Fernald's Sedge,Medium ,
Carex michauxiana,Michaux Sedge,Medium ,
Carex muehlenbergii var. muehlenbergii,Muehlenberg's Sedge,Medium ,
Carex nigra,Black Sedge,Medium ,
Carex oligosperma,Few-seeded Sedge,Medium ,
Carex siccata,Hay Sedge,Medium ,
Carex typhina,Cat-tail Sedge,Medium ,
Carex wiegandii,Wiegand's Sedge,Medium ,
Carya glabra,Pignut Hickory,Medium ,
Castanea dentata,American Chestnut,Medium ,
Cerastium nutans ssp. nutans,Nodding Chickweed,Medium ,
Ceratophyllum echinatum,Prickly Hornwort,Medium ,
Chamaecrista nictitans var. nictitans,Wild Sensitive Plant,Medium ,
Cirsium discolor,Field Thistle,Medium ,
Cladium mariscoides,Bog-rush,Medium ,
Coleataenia rigidula ssp. rigidula,Redtop Panic-grass,Medium ,
Collinsonia canadensis,Canada Horse-balm,Medium ,
Corallorhiza odontorhiza var. odontorhiza,Autumn Coral-root,Medium ,
Cornus florida,Flowering Dogwood,Medium ,
Corylus americana,American Hazelnut,Medium ,
Crassula aquatica,Pygmyweed,Medium ,
Crataegus biltmoreana,Biltmore Hawthorn,Medium ,
Crataegus intricata var. intricata,Intricate Hawthorn,Medium ,
Crataegus irrasa var. irrasa,Zigzag Hawthorn,Medium ,
Crocanthemum bicknellii,Plains Frostweed,Medium ,
Crocanthemum canadense,Canada Frostweed,Medium ,
Crotalaria sagittalis,Rattlebox,Medium ,
Cuscuta cephalanthi,Buttonbush Dodder,Medium ,
Cyperus diandrus,Low Flatsedge,Medium ,
Dactylorhiza viridis,Long-bract Green Orchis,Medium ,
Desmodium perplexum,Perplexed Tick-trefoil,Medium ,
Desmodium rotundifolium,Prostrate Tick-trefoil,Medium ,
Dichanthelium oligosanthes ssp. scribnerianum,Few-flowered Panic-grass,Medium ,
Dichanthelium sphaerocarpon,Spherical Panic-grass,Medium ,
Elatine minima,Small Waterwort,Medium ,
Eleocharis flavescens var. olivacea,Olive Spikerush,Medium ,
Eleocharis quinqueflora,Few-flowered Spikerush,Medium ,
Eleocharis robbinsii,Robbins Spikerush,Medium ,
Elymus villosus var. villosus,Hairy Wild-rye,Medium ,
Empetrum atropurpureum,Purple Crowberry,Medium ,
Epilobium palustre,Marsh Willow-herb,Medium ,
Eriophorum gracile,Slender Cotton-grass,Medium ,
Eriophorum tenellum,Rough Cotton-grass,Medium ,
Eupatorium sessilifolium,Sessile-leaved Boneset,Medium ,
Eurybia radula,Rough-leaved Aster,Medium ,
Eutrochium purpureum var. purpureum,Sweet Joe-pye Weed,Medium ,
Fimbristylis autumnalis,Autumn Fimbristylis,Medium ,
Galium obtusum ssp. obtusum,Large Marsh Bedstraw,Medium ,
Galium pilosum var. pilosum,Hairy Bedstraw,Medium ,
Gentianella quinquefolia,Stiff Gentian,Medium ,
Glyceria acutiflora,Sharp Manna-grass,Medium ,
Glyceria septentrionalis,Eastern Manna-grass,Medium ,
Halenia deflexa ssp. deflexa,Spurred Gentian,Medium ,
Hedysarum alpinum var. americanum,Alpine Sweet-broom,Medium ,
Helenium autumnale,Sneezeweed,Medium ,
Helianthus strumosus,Harsh Sunflower,Medium ,
Hippuris vulgaris,Mare's-tail,Medium ,
Houstonia longifolia,Longleaf Bluet,Medium ,
Hypericum ascyron,Great St. John's-wort,Medium ,
Hypericum gentianoides,Orange-grass St. John's-wort,Medium ,
Ilex laevigata,Smooth Holly,Medium ,
Isotria verticillata,Large Whorled Pogonia,Medium ,
Juglans cinerea,Butternut,Medium ,
Juncus acuminatus,Tapering Rush,Medium ,
Juncus alpinoarticulatus,Alpine Rush,Medium ,
Juncus anthelatus,Greater Poverty Rush,Medium ,
Juncus greenei,Greene's Rush,Medium ,
Juncus militaris,Soldier Rush,Medium ,
Juncus secundus,Secund Rush,Medium ,
Juncus subcaudatus,Woodland Rush,Medium ,
Lathyrus japonicus var. maritimus,Beach Pea,Medium ,
Lathyrus palustris,Marsh Vetchling,Medium ,
Lechea maritima var. maritima,Beach Pinweed,Medium ,
Lechea mucronata,Hairy Pinweed,Medium ,
Lespedeza frutescens,Violet Bush-clover,Medium ,
Lespedeza hirta ssp. hirta,Hairy Bush-clover,Medium ,
Lespedeza procumbens,Trailing Bush-clover,Medium ,
Lespedeza violacea,Violet Bush-clover,Medium ,
Liriodendron tulipifera,Tulip Tree,Medium ,
Littorella americana,American Shore-grass,Medium ,
Lonicera oblongifolia,Swamp Fly-honeysuckle,Medium ,
Luzula parviflora,Small-flowered Rush,Medium ,
Lycopus americanus ssp. laurentianus,St. Lawrence Water-horehound,Medium ,
Lysimachia hybrida,Lance-leaved Loosestrife,Medium ,
Malaxis unifolia,Green Adder's-mouth,Medium ,
Muhlenbergia sobolifera,Sprout Muhly,Medium ,
Muhlenbergia sylvatica,Woodland Muhly,Medium ,
Myosotis laxa,Smaller Forget-me-not,Medium ,
Myosotis verna,Spring Forget-me-not,Medium ,
Myriophyllum alterniflorum,Water Milfoil,Medium ,
Myriophyllum farwellii,Farwell's Water-milfoil,Medium ,
Myriophyllum humile,Low Water-milfoil,Medium ,
Myriophyllum verticillatum,Whorled Water-milfoil,Medium ,
Najas gracillima,Slender Naiad,Medium ,
Najas guadalupensis ssp. guadalupensis,Guadalupe Naiad,Medium ,
Neottia cordata,Heartleaf Twayblade,Medium ,
Oclemena nemoralis,Bog Aster,Medium ,
Omalotheca sylvatica,Woodland Cudweed,Medium ,
Panicum philadelphicum var. philadelphicum,Philadelphia Panic-grass,Medium ,
Persicaria careyi,Carey's Smartweed,Medium ,
Petasites frigidus var. palmatus,Sweet Coltsfoot,Medium ,
Physalis grisea,Strawberry-tomato,Medium ,
Physalis longifolia var. subglabrata,Smooth Ground-cherry,Medium ,
Physostegia virginiana ssp. virginiana,Obedient Plant,Medium ,
Piptatheropsis pungens,Slender Mountain-rice,Medium ,
Platanthera blephariglottis var. blephariglottis,White-fringed Orchid,Medium ,
Platanthera flava var. herbiola,Tubercled Orchid,Medium ,
Platanthera hookeri,Hooker's Orchid,Medium ,
Platanthera macrophylla,Large Roundleaf Orchid,Medium ,
Platanthera obtusata ssp. obtusata,Small Bog Orchid,Medium ,
Platanthera orbiculata,Roundleaf Orchid,Medium ,
Podostemum ceratophyllum,Riverweed,Medium ,
Polygonatum biflorum,Common Solomon's-seal,Medium ,
Polygonum douglasii,Douglas' Knotweed,Medium ,
Polygonum tenue,Slender Knotweed,Medium ,
Potamogeton bicupulatus,Snail-seed Pondweed,Medium ,
Potamogeton confervoides,Tuckerman's Pondweed,Medium ,
Potamogeton strictifolius,Straight-leaf Pondweed,Medium ,
Potamogeton vaseyi,Vasey's Pondweed,Medium ,
Proserpinaca palustris,Marsh Mermaid-weed,Medium ,
Prunus americana,Wild Plum,Medium ,
Prunus pumila var. depressa,Low Sand Cherry,Medium ,
Prunus susquehanae,Susquehanna Sand Cherry,Medium ,
Pycnanthemum incanum var. incanum,Hoary Mountain-mint,Medium ,
Pycnanthemum muticum,Blunt Mountain-mint,Medium ,
Pycnanthemum verticillatum var. verticillatum,Whorled Mountain-mint,Medium ,
Pyrola asarifolia ssp. asarifolia,Bog Wintergreen,Medium ,
Pyrola chlorantha,Green-flower Shinleaf,Medium ,
Quercus coccinea,Scarlet Oak,Medium ,
Quercus ilicifolia,Scrub Oak,Medium ,
Quercus prinoides,Dwarf Chinquapin Oak,Medium ,
Ranunculus allegheniensis,Allegheny Crowfoot,Medium ,
Ranunculus fascicularis,Early Buttercup,Medium ,
Ranunculus subrigidus,Stiff Water-crowfoot,Medium ,
Rhexia virginica,Virginia Meadow-beauty,Medium ,
Rhododendron periclymenoides,Pinxter-flower,Medium ,
Rosa nitida,Shining Rose,Medium ,
Rosa virginiana,Virginia Rose,Medium ,
Sagittaria australis,Appalachian Arrowhead,Medium ,
Salix pedicellaris,Bog Willow,Medium ,
Salix pellita,Satiny Willow,Medium ,
Salix serissima,Autumn Willow,Medium ,
Samolus parviflorus,Water Pimpernel,Medium ,
Sanguisorba canadensis,Canada Burnet,Medium ,
Sanicula odorata,Clustered Snakeroot,Medium ,
Scheuchzeria palustris,Pod-grass,Medium ,
Schoenoplectiella smithii var. setosa,Smith's Bulrush,Medium ,
Schoenoplectiella smithii var. smithii,Smith's Bulrush,Medium ,
Schoenoplectus torreyi,Torrey's Bulrush,Medium ,
Scrophularia marilandica,Carpenter's-square,Medium ,
Senega officinalis,Seneca Snakeroot,Medium ,
Senega polygama,Racemed Milkwort,Medium ,
Sericocarpus asteroides,White-topped Aster,Medium ,
Sisyrinchium atlanticum,Eastern Blue-eyed-grass,Medium ,
Solidago odora ssp. odora,Sweet Goldenrod,Medium ,
Solidago randii,Rand's Mountain Goldenrod,Medium ,
Solidago squarrosa,Squarrose Goldenrod,Medium ,
Solidago ulmifolia,Elm-leaved Goldenrod,Medium ,
Sparganium natans,Lesser Bur-reed,Medium ,
Spiranthes lacera var. lacera,Northern Slender Ladies'-tresses,Medium ,
Spiranthes romanzoffiana,Hooded Ladies'-tresses,Medium ,
Sporobolus compositus var. compositus,Rough Dropseed,Medium ,
Stachys pilosa var. pilosa,Marsh Woundwort,Medium ,
Stellaria undulata,Trailing Stitchwort,Medium ,
Stuckenia x fennica,Hybrid Thread-leaved Pondweed,Medium ,
Symphyotrichum boreale,Boreal Aster,Medium ,
Symphyotrichum ciliolatum,Ciliolate Aster,Medium ,
Symphyotrichum laeve var. laeve,Smooth Blue Aster,Medium ,
Symphyotrichum tradescantii,Tradescant Aster,Medium ,
Thalictrum thalictroides,Rue-anemone,Medium ,
Triantha glutinosa,Sticky False-asphodel,Medium ,
Trichophorum cespitosum,Deer-hair Sedge,Medium ,
Trichophorum planifolium,Bashful Bulrush,Medium ,
Triphora trianthophoros ssp. trianthophoros,Three-bird Orchid,Medium ,
Utricularia radiata,Inflated Bladderwort,Medium ,
Utricularia resupinata,Northeastern Bladderwort,Medium ,
Uvularia perfoliata,Perfoliate Bellwort,Medium ,
Vaccinium boreale,Boreal Blueberry,Medium ,
Vaccinium caespitosum,Dwarf Bilberry,Medium ,
Vaccinium stamineum,Deerberry,Medium ,
Vaccinium vitis-idaea ssp. minus,Mountain Cranberry,Medium ,
Viburnum edule,Squashberry,Medium ,
Viola lanceolata ssp. lanceolata,Lance-leaved Violet,Medium ,
Viola latiuscula,Broad-leaf Wood Violet,Medium ,
Viola nephrophylla,Northern Bog Violet,Medium ,
Viola palmata var. triloba,Northern Three-lobed Violet,Medium ,
Viola sagittata,Arrow-leaf Violet,Medium ,
Vulpia octoflora var. tenella,Eight-flowered Fescue,Medium ,
Xyris montana,Northern Yellow-eyed-grass,Medium ,
Zannichellia palustris,Horned Pondweed,Medium ,
Arnica lanceolata ssp. lanceolata,New England Arnica,Assessment Needed,
Bistorta vivipara,Alpine Smartweed,Assessment Needed,
Crataegus brainerdii,Brainerd's Hawthorn,Assessment Needed,
Crataegus chrysocarpa var. praecox,Precocious Hawthorn,Assessment Needed,
Crataegus faxonii,Faxon's Hawthorn,Assessment Needed,
Crataegus irrasa var. blanchardii,Blanchard's Hawthorn,Assessment Needed,
Crataegus lucorum,Grove Hawthorn,Assessment Needed,
Crataegus macracantha var. occidentalis,Western Long-spine Hawthorn,Assessment Needed,
Crataegus scabrida var. egglestonii,Eggleston's Hawthorn,Assessment Needed,
Crataegus scabrida var. scabrida,Harsh Hawthorn,Assessment Needed,
Hieracium umbellatum,Umbellate Hawkweed,Assessment Needed,
Justicia americana,Common Water-willow,Assessment Needed,
Lemna turionifera,Turion Duckweed,Assessment Needed,
Paronychia fastigiata var. fastigiata,Hairy Forked Chickweed,Assessment Needed,
