scientificName,vernacularName,VT_SGCN,Regional_SGCN
Notiophilus borealis,Notiophilus borealis,High ,
Notiophilus nemoralis,Notiophilus nemoralis,High ,
Olisthopus micans,Olisthopus micans,High ,
Patrobus foveocollis,Patrobus foveocollis,High ,
Philodes alternans,Philodes alternans,High ,
Pterostichus brevicornis,Pterostichus brevicornis,High ,
Pterostichus pinguedineus,Pterostichus pinguedineus,High ,
Pterostichus punctatissimus,Pterostichus punctatissimus,High ,
Sphaeroderus nitidicollis brevoorti,Sphaeroderus nitidicollis brevoorti,High ,
Tachys rhodeanus,Tachys rhodeanus,High ,
Adalia bipunctata,Two-spotted Lady Beetle,Medium ,
Agonum moerens,Agonum moerens,Medium ,
Agonum punctiforme,Agonum punctiforme,Medium ,
Agonum superioris,Agonum superioris,Medium ,
Amara laevipennis,Amara laevipennis,Medium ,
Anatis labiculata,Fifteen-spotted Lady Beetle,Medium ,
Atranus pubescens,Atranus pubescens,Medium ,
Bembidion affine,Bembidion affine,Medium ,
Bembidion cordatum,Bembidion cordatum,Medium ,
Bembidion robusticolle,Bembidion robusticolle,Medium ,
Bembidion rolandi,Bembidion rolandi,Medium ,
Blethisa hudsonica,Blethisa hudsonica,Medium ,
Carabus goryi,Carabus goryi,Medium ,
Carabus maeander,Carabus maeander,Medium ,
Coccinella hieroglyphica,Hieroglyphic Lady Beetle,Medium ,
Coccinella monticola,Mountain Lady Beetle,Medium ,
Coccinella novemnotata,Nine-spotted Lady Beetle,Medium ,
Coccinella transversoguttata,Transverse Lady Beetle,Medium ,
Diplocheila impressicollis,Diplocheila impressicollis,Medium ,
Dyschirius brevispinus,Dyschirius brevispinus,Medium ,
Dyschirius erythrocerus,Dyschirius erythrocerus,Medium ,
Elaphropus dolosus,Elaphropus dolosus,Medium ,
Elaphropus levipes,Elaphropus levipes,Medium ,
Harpalus indigens,Harpalus indigens,Medium ,
Harpalus providens,Harpalus providens,Medium ,
Hippodamia glacialis,Glacial Lady Beetle,Medium ,
Hippodamia tredecimpunctata,Thirteen-spotted Lady Beetle,Medium ,
Notiobia sayi,Notiobia sayi,Medium ,
Notiophilus aquaticus,Notiophilus aquaticus,Medium ,
Notiophilus novemstriatus,Notiophilus novemstriatus,Medium ,
Pentagonica picticornis,Pentagonica picticornis,Medium ,
Pericompsus ephippiatus,Pericompsus ephippiatus,Medium ,
Philodes rectangulus,Philodes rectangulus,Medium ,
Platynus cincticollis,Platynus cincticollis,Medium ,
Platypatrobus lacustris,Platypatrobus lacustris,Medium ,
Pseudamara arenaria,Pseudamara arenaria,Medium ,
Pterostichus castor,Pterostichus castor,Medium ,
Scaphinotus bilobus,Scaphinotus bilobus,Medium ,
Schizogenius ferrugineus,Schizogenius ferrugineus,Medium ,
Sericoda obsoleta,Sericoda obsoleta,Medium ,
Sericoda quadripunctata,Sericoda quadripunctata,Medium ,
Tachys oblitus,Tachys oblitus,Medium ,
Tetragonoderus fasciatus,Tetragonoderus fasciatus,Medium ,
Tetraleucus picticornis,Tetraleucus picticornis,Medium ,
Agrilus subcinctus,Agrilus subcinctus,Watchlist,
Capraita sexmaculata,Charlie Brown Flea Beetle,Watchlist,
Hylesinus aculeatus,Eastern Ash Bark Beetle,Watchlist,
Hylesinus criddlei,Hylesinus criddlei,Watchlist,
Hylesinus pruinosus,Hylesinus pruinosus,Watchlist,
Mulsantina hudsonica,Hudsonian Ladybird,Watchlist,
Neoclytus caprea,Banded ash borer,Watchlist,
Xyloryctes jamaicensis,Rhinoceros beetle,Watchlist,
Ceraclea submacula,Ceraclea submacula,High ,
Holocentropus glacialis,Polycentropus glacialis,High ,
Plectrocnemia icula,Polycentropus iculus,High ,
Rhyacophila amicis,Rhyacophila amicis,High ,
Rhyacophila brunnea,A Caddisfly,High ,
Cambarus bartonii,Appalachian Brook Crayfish,High ,
Dasineura pellex,Ash bullet gall midge,Watchlist,
Dasineura tumidosae,Ash Petiole Gall Midge,Watchlist,
Lejota cyanea,Cobalt Trunksitter,Assessment Needed,
Xylota naknek,Naknek Leafwalker,Assessment Needed,
Alasmidonta heterodon,Dwarf Wedgemussel,High ,Regional SGCN
Alasmidonta marginata,Elktoe,High ,
Alasmidonta varicosa,Brook Floater,High ,Regional SGCN
Lampsilis ovata,Pocketbook,High ,
Lasmigona compressa,Creek Heelsplitter,High ,
Lasmigona costata,Flutedshell,High ,
Leptodea fragilis,Fragile Papershell,High ,
Ligumia recta,Black Sandshell,High ,
Potamilus alatus,Pink Heelsplitter,High ,
Anodontoides ferussacianus,Cylindrical Papershell,Medium ,
Margaritifera margaritifera,Eastern Pearlshell,Medium ,Regional SGCN
Pyganodon grandis,Giant Floater,Medium ,
Utterbackiana implicata,Alewife Floater,Medium ,
Acella haldemani,Spindle Lymnaea,High ,
Bulimnaea megasoma,Mammoth Lymnaea,High ,
Elimia livescens,Liver Elimia,High ,
Fossaria rustica,Country Fossaria,High ,
Gillia altilis,Buffalo Pebblesnail,High ,
Lyogyrus granum,Squat Duskysnail,High ,
Lyogyrus pupoideus,Pupa Duskysnail,High ,
Lyogyrus walkeri,Canadian Duskysnail,High ,
Marstonia lustrica,Boreal Marstonia,High ,
Valvata lewisi,Fringed Valvata,High ,
Valvata sincera,Mossy Valvata,High ,
Gyraulus crista,Star Gyro,Medium ,
Laevapex fuscus,Dusky Ancylid,Medium ,
Planorbula armigera,Thicklip Rams-horn,Medium ,
Pleurocera acuta,Sharp Hornsnail,Medium ,
Melanoplus mancus,Smith's Spur-throat Grasshopper,High ,
Psinidia fenestralis,Sand Locust,Medium ,
Melanoplus dawsoni,Dawson's Spur-throat Grasshopper,Watchlist,
Acentrella naidineae,Acentrella naidineae,Medium ,
Ameletus browni,A Mayfly,Medium ,Regional SGCN
Ameletus tertius,Ameletus tertius,Medium ,Regional SGCN-Watchlist
Anafroptilum victoriae,Anafroptilum victoriae,Medium ,Regional SGCN-Proposed Watchlist
Baetisca rubescens,A Mayfly,Medium ,Regional SGCN
Dannella lita,Dannella lita,Medium ,
Dentatella coxalis,Barton's Spiny Crawler Mayfly,Medium ,Regional SGCN-Proposed
Epeorus frisoni,Roaring Brook Mayfly,Medium ,Regional SGCN
Ephemerella excrucians,Pale Morning Dun,Medium ,
Siphlonisca aerodromia,Tomah Mayfly,Medium ,Regional SGCN
Choroterpes basalis,Choroterpes basalis,Watchlist,
Litobrancha recurvata,Brown Drake Mayfly,Watchlist,
Callophrys lanoraieensis,Bog Elfin,High ,Regional SGCN
Danaus plexippus plexippus,Monarch,High ,Regional SGCN
Eacles imperialis pini,Pine Imperial Moth,High ,
Erora laeta,Early Hairstreak,High ,Regional SGCN
Hemileuca lucina,New England Buckmoth,High ,Regional SGCN-Watchlist
Lemmeria digitalis,Lemmeria digitalis,High ,
Lithophane franclemonti,Franclemont's Lithophane,High ,
Pachypolia atricornis,Pachypolia atricornis,High ,
Papaipema sp. 2 nr. pterisii,Ostrich Fern Borer,High ,Regional SGCN
Speranza ribearia,Currant Spanworm,High ,
Sphinx drupiferarum,Plum Sphinx,High ,
Sphinx luscitiosa,Clemens' Sphinx,High ,
Sthenopis thule,Sthenopis thule,High ,
Xestia fabulosa,Xestia fabulosa,High ,
Xestia homogena,Xestia homogena,High ,
Zale submediana,Zale submediana,High ,
Zanclognatha martha,Pine Barrens Zanclognatha,High ,Regional SGCN-Watchlist
Asterocampa celtis,Hackberry Emperor,Medium ,
Asterocampa clyton,Tawny Emperor,Medium ,
Atrytonopsis hianna,Dusted Skipper,Medium ,Regional SGCN-Watchlist
Callophrys gryneus,Juniper Hairstreak,Medium ,
Chlosyne nycteis,Silvery Checkerspot,Medium ,Regional SGCN-Watchlist
Eana georgiella,Eana georgiella,Medium ,
Euphyes bimacula,Two-spotted Skipper,Medium ,Regional SGCN
Euphyes conspicua,Black Dash,Medium ,
Euphyes dion,Dion Skipper,Medium ,
Hesperia colorado,Common Branded Skipper,Medium ,
Hesperia metea,Cobweb Skipper,Medium ,
Lasionycta taigata,Lasionycta taigata,Medium ,
Oeneis jutta,Jutta Arctic,Medium ,
Pieris virginiensis,West Virginia White,Medium ,Regional SGCN
Poanes massasoit,Mulberry Wing,Medium ,
Properigea costa,Barrens Moth,Medium ,
Satyrium edwardsii,Edward's Hairstreak,Medium ,Regional SGCN
Tharsalea epixanthe,Bog Copper,Medium ,Regional SGCN-Watchlist
Callophrys irus,Frosted Elfin,Watchlist,Regional SGCN
Caloptilia fraxinella,Ash Leaf Cone Roller Moth,Watchlist,
Ceratomia undulosa,Waved Sphinx,Watchlist,Regional SGCN-Watchlist
Colias interior,Pink-edged Sulphur,Watchlist,
Copivaleria grotei,Grote's Sallow,Watchlist,
Lethe appalachia,Appalachian Brown,Watchlist,
Marmara fraxinicola,Marmara fraxinicola,Watchlist,
Olceclostera angelica,Angel moth,Watchlist,
Palpita magniferalis,Splendid palpita,Watchlist,
Papaipema furcata,Ash Borer Moth,Watchlist,Regional SGCN-Watchlist
Plagodis kuetzingi,Purple plagodis,Watchlist,Regional SGCN-Watchlist
Sphinx canadensis,Canadian Sphinx,Watchlist,Regional SGCN-Watchlist
Sphinx chersis,Great Ash Sphinx,Watchlist,Regional SGCN-Watchlist
Sphinx kalmiae,Fawn Sphinx,Watchlist,
Sympistis chionanthi,Fringe-tree Sallow,Watchlist,Regional SGCN-Proposed Watchlist
Aeshna clepsydra,Mottled Darner,High ,
Aeshna sitchensis,Zigzag Darner,High ,
Aeshna subarctica,Subarctic Darner,High ,
Anax longipes,Comet Darner,High ,
Argia apicalis,Blue-fronted Dancer,High ,
Celithemis fasciata,Banded Pennant,High ,
Coenagrion interrogatum,Subarctic Bluet,High ,
Dorocordulia lepida,Petite Emerald,High ,
Enallagma anna,River Bluet,High ,
Enallagma antennatum,Rainbow Bluet,High ,
Enallagma basidens,Double-striped Bluet,High ,
Enallagma durum,Big Bluet,High ,
Enallagma laterale,New England Bluet,High ,Regional SGCN
Enallagma pictum,Scarlet Bluet,High ,Regional SGCN
Enallagma traviatum,Slender Bluet,High ,
Epiaeschna heros,Swamp Darner,High ,
Gomphurus fraternus,Midland Clubtail,High ,Regional SGCN-Watchlist
Gomphurus vastus,Cobra Clubtail,High ,
Gomphurus ventricosus,Skillet Clubtail,High ,Regional SGCN
Hetaerina americana,American Rubyspot,High ,
Hylogomphus abbreviatus,Spine-crowned Clubtail,High ,Regional SGCN-Watchlist
Ischnura kellicotti,Lilypad Forktail,High ,
Nasiaeschna pentacantha,Cyrano Darner,High ,
Neurocordulia yamaskanensis,Stygian Shadowdragon,High ,
Ophiogomphus rupinsulensis,Rusty Snaketail,High ,
Phanogomphus quadricolor,Gomphus quadricolor,High ,Regional SGCN
Rhionaeschna mutata,Spatterdock Darner,High ,Regional SGCN-Watchlist
Somatochlora albicincta,Ringed Emerald,High ,
Somatochlora cingulata,Lake Emerald,High ,
Somatochlora forcipata,Forcipate Emerald,High ,Regional SGCN
Somatochlora franklini,Delicate Emerald,High ,
Somatochlora incurvata,Incurvate Emerald,High ,Regional SGCN
Somatochlora kennedyi,Kennedy's Emerald,High ,Regional SGCN
Stylurus amnicola,Riverine Clubtail,High ,Regional SGCN-Watchlist
Sympetrum danae,Black Meadowhawk,High ,
Tramea carolina,Carolina Saddlebags,High ,
Williamsonia fletcheri,Ebony Boghaunter,High ,Regional SGCN-Watchlist
Zoraena erronea,Tiger Spiketail,High ,Regional SGCN
Zoraena obliqua,Arrowhead Spiketail,High ,Regional SGCN-Watchlist
Somatochlora williamsoni,Williamson's Emerald,Medium ,
Alloperla leonarda,Truncate Sallfly,Medium ,
Alloperla voinae,Lawrence Sallfly,Medium ,Regional SGCN
Hansonoperla appalachia,Appalachian Stonefly,Medium ,Regional SGCN
Leuctra maria,Northeastern Needlefly,Medium ,
Ostrocerca prolongata,Bent Forestfly,Medium ,
Pteronarcys comstocki,Spiny Salmonfly,Medium ,
Rasvena terna,Vermont Sallfly,Medium ,
Appalachina sayana,Spike-lip Crater,Assessment Needed,Regional SGCN-Watchlist
Oxyloma retusum,Blunt Ambersnail,Assessment Needed,Regional SGCN-Watchlist
Pseudohyalina exigua,Ribbed Striate,Assessment Needed,
Vertigo ventricosa,Five-tooth Vertigo,Assessment Needed,Regional SGCN-Watchlist
Vitrina angelicae,Eastern Glass-snail,Assessment Needed,Regional SGCN-Watchlist
Grylloprociphilus imbricator,Beech blight aphid,Watchlist,
Prociphilus americanus,Prociphilus americanus,Watchlist,
Prociphilus fraxinifolii,Leafcurl ash aphid,Watchlist,
Tropidosteptes amoenus,Ash plant bug,Watchlist,
Lasionycteris noctivagans,Silver-haired Bat,High ,Regional SGCN
Lasiurus borealis,Eastern Red Bat,High ,Regional SGCN
Lasiurus cinereus,Northern Hoary Bat,High ,Regional SGCN
Myotis leibii,Eastern Small-footed Bat,High ,Regional SGCN
Myotis lucifugus,Little Brown Bat,High ,Regional SGCN
Myotis septentrionalis,Northern Long-eared Bat,High ,Regional SGCN
Myotis sodalis,Indiana Bat,High ,Regional SGCN
Perimyotis subflavus,Tri-colored Bat,High ,Regional SGCN
Urocyon cinereoargenteus,Gray Fox,Medium ,Regional SGCN-Watchlist
Canis lupus,Wolf,Watchlist,
Lynx canadensis,Canada Lynx,High ,Regional SGCN
Puma concolor couguar,Eastern Mountain Lion,Watchlist,
Sorex albibarbis,Eastern Water Shrew,High ,Regional SGCN-Watchlist
Sorex dispar,Long-tailed or Rock Shrew,High ,Regional SGCN-Watchlist
Sorex cinereus,Cinereus or Masked Shrew,Medium ,
